ticker,alpha,t_stat,p_value
SPY,4.2971780400551336e-05,0.8211227784309499,0.4115763365120579
QQQ,0.00014600904866129516,1.9945224081539166,0.046094993624968536
IWM,-0.00013753906482880888,-1.3362949926040522,0.1814528725653326
DIA,2.841151844343485e-05,0.47227181632184123,0.6367327845388294
XLK,0.0002110176470368631,2.1245050871241773,0.03362793112397399
XLF,-4.831136731140403e-05,-0.46237752887451333,0.6438106108998762
XLE,-0.00021170058819445405,-1.981953688350145,0.04748442417743063
XLV,-5.5182435066436844e-05,-0.5523749496067882,0.5806914897807556
XLI,2.209962920879726e-05,0.2424043799008604,0.8084668408976101
XLY,2.0556583835100187e-05,0.2125249071785763,0.8316975484488233
XLP,-3.5239494228810586e-05,-0.35766657591733686,0.7205928491292306
GLD,0.00014961137973129598,1.2959832380002085,0.19498125981936157
TLT,-0.00013270463768745184,-1.3823956370803276,0.16685025500194803
