date,action,price,position,equity,reason
2020-03-17,BUY,231.6566619873,1,10000.0,Z_ENTRY
2021-09-21,BUY,408.7430114746,1,11204.345240907836,Z_ENTRY
2022-04-25,BUY,406.5950927734,1,11771.466585792969,Z_ENTRY
2022-09-15,BUY,371.7674865723,1,10573.623193410585,Z_ENTRY
2025-03-25,BUY,570.4917602539,1,10797.541977734423,Z_ENTRY
2025-11-19,BUY,660.6777954102,1,10634.300109900298,Z_ENTRY
2020-04-20,SELL,259.5561218262,0,11204.345240907836,Z_EXIT
2021-09-24,SELL,418.4330444336,0,11469.96562246917,Z_EXIT
2022-10-31,SELL,369.553314209,0,10510.648820716904,Z_EXIT
2025-05-02,SELL,561.8668212891,0,10634.300109900298,Z_EXIT
2025-11-26,SELL,677.6775512695,0,10907.928960239653,Z_EXIT
2021-09-29,BUY,409.5159301758,1,11469.96562246917,Z_ENTRY
2022-11-04,BUY,360.1185302734,1,10510.648820716904,Z_ENTRY
2021-10-15,SELL,420.2805175781,0,11771.466585792969,Z_EXIT
2022-11-08,SELL,365.5248413086,0,10668.440858420194,Z_EXIT
2022-12-29,BUY,368.5875244141,1,10668.440858420194,Z_ENTRY
