ticker,rank,score,vol,mom_63,mom_252,corr_spy,t_stat,p_value,passes_fdr,reasons
XLP,1,0.636935,0.121582,0.154388,0.132421,-0.064576,2.519432,0.00587722,1,"score=0.637 (z_mom=1.24, z_trend=-0.05, z_risk=0.76, z_dd=0.65); p(one-sided)=0.00588 FDR=Y"
GLD,2,1.130542,0.353186,0.181095,0.547151,0.187117,1.017318,0.154501,0,"score=1.131 (z_mom=1.57, z_trend=3.27, z_risk=-2.80, z_dd=-0.04); p(one-sided)=0.155 FDR=N"
XLI,3,0.506066,0.155831,0.123969,0.248240,0.766794,1.578395,0.0572375,0,"score=0.506 (z_mom=0.88, z_trend=0.26, z_risk=0.24, z_dd=0.61); p(one-sided)=0.0572 FDR=N"
XLE,4,0.475052,0.219893,0.194496,0.232363,0.137589,1.754913,0.0396371,0,"score=0.475 (z_mom=1.73, z_trend=-0.10, z_risk=-0.75, z_dd=0.53); p(one-sided)=0.0396 FDR=N"
IWM,5,0.166365,0.194134,0.079658,0.173237,0.815875,0.814111,0.207791,0,"score=0.166 (z_mom=0.34, z_trend=0.22, z_risk=-0.35, z_dd=0.39); p(one-sided)=0.208 FDR=N"
DIA,6,0.133796,0.126435,0.029399,0.125613,0.837615,0.461338,0.322278,0,"score=0.134 (z_mom=-0.27, z_trend=0.11, z_risk=0.69, z_dd=0.52); p(one-sided)=0.322 FDR=N"
XLV,7,-0.072878,0.141409,0.035493,0.095567,0.377968,0.497989,0.309246,0,"score=-0.073 (z_mom=-0.19, z_trend=-0.43, z_risk=0.46, z_dd=0.52); p(one-sided)=0.309 FDR=N"
SPY,8,-0.091977,0.118618,0.000562,0.133824,1.000000,0.009408,0.496247,0,"score=-0.092 (z_mom=-0.62, z_trend=-0.24, z_risk=0.81, z_dd=0.45); p(one-sided)=0.496 FDR=N"
TLT,9,-0.428941,0.085585,0.006818,0.071945,0.187136,0.158061,0.437204,0,"score=-0.429 (z_mom=-0.54, z_trend=-0.49, z_risk=1.32, z_dd=-3.31); p(one-sided)=0.437 FDR=N"
XLY,10,-0.503551,0.167883,-0.021751,0.046418,0.768023,-0.257054,0.601432,0,"score=-0.504 (z_mom=-0.88, z_trend=-0.57, z_risk=0.05, z_dd=-0.04); p(one-sided)=0.601 FDR=N"
XLF,11,-0.543590,0.153322,-0.034875,0.019453,0.675229,-0.451298,0.674113,0,"score=-0.544 (z_mom=-1.04, z_trend=-0.60, z_risk=0.28, z_dd=-0.22); p(one-sided)=0.674 FDR=N"
QQQ,12,-0.569556,0.163550,-0.030048,0.135519,0.938742,-0.364517,0.642264,0,"score=-0.570 (z_mom=-0.99, z_trend=-0.74, z_risk=0.12, z_dd=0.11); p(one-sided)=0.642 FDR=N"
XLK,13,-0.838262,0.225020,-0.050150,0.174783,0.884167,-0.442190,0.670824,0,"score=-0.838 (z_mom=-1.23, z_trend=-0.64, z_risk=-0.83, z_dd=-0.18); p(one-sided)=0.671 FDR=N"
