run_id,created_utc,ticker,start,end,mode,short,long,sharpe,max_dd,cagr,benchmark_sharpe,benchmark_cagr,oos_sharpe,oos_max_dd,significant
20260216T222030Z_8818958a,2026-02-16T22:20:30.364279Z,UNIVERSE,2015-01-01,2026-02-16,morning_signal_engine,20,50,,,,,,,,
20260216T223515Z_3c187b35,2026-02-16T22:35:15.367842Z,UNIVERSE,2023-01-01,2023-12-31,morning_signal_engine,20,50,,,,,,,,
20260216T223624Z_072434f3,2026-02-16T22:36:24.719984Z,UNIVERSE,2023-01-01,2023-12-31,morning_signal_engine,20,50,,,,,,,,
20260216T231809Z_b06409a0,2026-02-16T23:18:09.089563Z,UNIVERSE,2023-01-01,2023-12-31,morning_signal_engine,20,50,,,,,,,,
20260216T232151Z_16d26647,2026-02-16T23:21:51.033209Z,UNIVERSE,2023-01-01,2023-12-31,morning_signal_engine,20,50,,,,,,,,
20260216T232336Z_6c72e438,2026-02-16T23:23:36.738684Z,UNIVERSE,2023-01-01,2023-12-31,morning_signal_engine,20,50,,,,,,,,
20260216T232457Z_fd35e71e,2026-02-16T23:24:57.366995Z,UNIVERSE,2023-01-01,2023-12-31,morning_signal_engine,20,50,,,,,,,,
20260216T235155Z_d4a45df9,2026-02-16T23:51:55.808364Z,UNIVERSE,2023-01-01,2023-12-31,morning_signal_engine,20,50,,,,,,,,
20260216T235824Z_e42cbe2f,2026-02-16T23:58:24.950304Z,UNIVERSE,2023-01-01,2023-12-31,morning_signal_engine,20,50,,,,,,,,
20260217T062600Z_f1745f23,2026-02-17T06:26:00.401125Z,UNIVERSE,2023-01-01,2023-12-31,morning_signal_engine,20,50,,,,,,,,
20260217T062748Z_12c7dda5,2026-02-17T06:27:48.172339Z,UNIVERSE,2023-01-01,2023-12-31,morning_signal_engine,20,50,,,,,,,,
20260217T062911Z_79eb5609,2026-02-17T06:29:11.259690Z,UNIVERSE,2023-01-01,2023-12-31,morning_signal_engine,20,50,,,,,,,,
20260217T062956Z_d0b4a9a3,2026-02-17T06:29:56.343609Z,UNIVERSE,2015-01-01,2026-02-16,morning_signal_engine,20,50,,,,,,,,
20260217T063043Z_f4c3a419,2026-02-17T06:30:43.815244Z,SPY,2015-01-01,2026-02-16,walkforward,wf,wf,0.18002287222467186,-0.20964203640773194,0.014316470336991571,0.7691447019948906,0.14656844448721063,0.18002287222467186,-0.20964203640773194,
20260217T063432Z_d174d56c,2026-02-17T06:34:32.236179Z,UNIVERSE,2023-01-01,2023-12-31,morning_signal_engine,20,50,,,,,,,,
20260217T063507Z_c80c03ad,2026-02-17T06:35:07.702127Z,UNIVERSE,2023-01-01,2023-12-31,morning_signal_engine,20,50,,,,,,,,
20260217T063605Z_45b10d46,2026-02-17T06:36:05.411291Z,UNIVERSE,2015-01-01,2026-02-16,morning_signal_engine,20,50,,,,,,,,
20260217T063759Z_e09125fa,2026-02-17T06:37:59.402881Z,SPY,2015-01-01,2026-02-16,walkforward,wf,wf,0.6887985459880306,-0.1527659819696109,0.05622424372976709,0.7691447019948896,0.14656844448721063,0.6887985459880306,-0.1527659819696109,1
20260217T063848Z_17d4514b,2026-02-17T06:38:48.240545Z,SPY,2015-01-01,2026-02-16,walkforward,wf,wf,0.18002287222467186,-0.20964203640773194,0.014316470336991571,0.7691447019948906,0.14656844448721063,0.18002287222467186,-0.20964203640773194,
20260217T064038Z_01aebcc7,2026-02-17T06:40:38.188636Z,SPY,2015-01-01,2026-02-16,walkforward,wf,wf,0.5181571624517362,-0.058543017990811186,0.026837144716357786,0.7691447019948906,0.14656844448721063,0.5181571624517362,-0.058543017990811186,
20260217T064230Z_91ed59a7,2026-02-17T06:42:30.033795Z,SPY,2015-01-01,2026-02-16,ensemble_engine,,,0.5948509975452835,-0.1332056499819948,0.04366888491622278,,,,,
20260217T064621Z_68153778,2026-02-17T06:46:21.109171Z,UNIVERSE,2023-01-01,2023-12-31,morning_signal_engine,20,50,,,,,,,,
20260217T064710Z_af0a2239,2026-02-17T06:47:10.367735Z,SPY,2015-01-01,2026-02-16,ensemble_engine,,,0.5948509975452835,-0.1332056499819948,0.04366888491622278,,,,,
20260217T065713Z_41e527f1,2026-02-17T06:57:13.824858Z,UNIVERSE,2023-01-01,2023-12-31,morning_signal_engine,20,50,,,,,,,,
20260217T071135Z_e458a44e,2026-02-17T07:11:35.019474Z,UNIVERSE,2023-01-01,2023-12-31,morning_signal_engine,20,50,,,,,,,,
20260217T071222Z_47c15e29,2026-02-17T07:12:22.116632Z,UNIVERSE,2023-01-01,2023-12-31,morning_signal_engine,20,50,,,,,,,,
20260217T071527Z_c8032204,2026-02-17T07:15:27.698894Z,UNIVERSE,2015-01-01,2026-02-17,morning_signal_engine,20,50,,,,,,,,
20260217T072414Z_62d9e244,2026-02-17T07:24:14.960782Z,UNIVERSE,2023-01-01,2023-12-31,morning_signal_engine,20,50,,,,,,,,
20260217T072806Z_85517e04,2026-02-17T07:28:06.882710Z,UNIVERSE,2023-01-01,2023-12-31,morning_signal_engine,20,50,,,,,,,,
20260217T072844Z_072a7868,2026-02-17T07:28:44.819614Z,UNIVERSE,2023-01-01,2023-12-31,morning_signal_engine,20,50,,,,,,,,
